Iteration,NPU_Loss,GPU_Loss,Loss_Difference_NPU_GPU
1,17.015,17.0153,-0.0002999999999993008
2,15.8,15.7964,0.0036000000000004917
3,16.5635,16.5611,0.002400000000001512
4,16.4056,16.4017,0.003899999999998016
5,15.3178,15.3151,0.002700000000000813
6,15.5786,15.5753,0.0032999999999994145
7,15.3537,15.3502,0.0035000000000007248
8,14.9853,14.9791,0.006199999999999761
9,14.283,14.2748,0.008199999999998653
10,14.2074,14.1993,0.008100000000000662
11,14.0278,14.0189,0.008899999999998798
12,12.8615,12.8528,0.008699999999999264
13,13.467,13.4601,0.006899999999999906
14,12.5349,12.5207,0.014200000000000657
15,11.6556,11.6459,0.009700000000000486
16,12.0384,12.0284,0.009999999999999787
17,10.8642,10.8508,0.013400000000000745
18,10.5893,10.5762,0.013099999999999667
19,10.6602,10.6508,0.009399999999999409
20,10.0261,10.0168,0.009299999999999642
21,9.187,9.1766,0.010399999999998855
22,9.1982,9.1845,0.013700000000000045
23,9.2392,9.2251,0.01410000000000089
24,8.0218,8.0077,0.01410000000000089
25,7.5993,7.5893,0.010000000000000675
26,7.9993,7.9856,0.013700000000000045
27,7.2391,7.2296,0.009500000000000064
28,6.6769,6.6698,0.00709999999999944
29,7.215,7.2067,0.008300000000000196
30,6.6549,6.6466,0.008299999999999308
31,5.9946,5.9866,0.008000000000000007
32,6.3453,6.3371,0.008199999999999541
33,5.7995,5.7906,0.008899999999999686
34,5.6462,5.6421,0.004100000000000215
35,5.5975,5.5928,0.004699999999999704
36,5.7588,5.7507,0.008099999999999774
37,5.1779,5.1707,0.007200000000000095
38,5.0413,5.0386,0.0026999999999999247
39,5.2063,5.1986,0.007699999999999818
40,5.3561,5.3516,0.004499999999999282
41,4.8308,4.8279,0.0029000000000003467
42,4.6392,4.6339,0.005300000000000082
43,4.9629,4.9572,0.005700000000000038
44,4.4752,4.4697,0.0055000000000005045
45,4.8437,4.838,0.005700000000000038
46,4.786,4.7829,0.0030999999999998806
47,4.1023,4.0975,0.004799999999999471
48,4.2877,4.2832,0.0045000000000001705
49,4.4292,4.4236,0.005599999999999383
50,4.219,4.2162,0.00280000000000058
51,4.2672,4.2631,0.004100000000000215
52,3.9773,3.973,0.0043000000000001926
53,4.2569,4.2533,0.0035999999999996035
54,3.9045,3.8983,0.006200000000000205
55,3.9022,3.8978,0.0043999999999999595
56,4.2711,4.2688,0.0022999999999999687
57,3.5007,3.4967,0.0040000000000000036
58,3.6775,3.6754,0.002100000000000435
59,3.9398,3.9362,0.0036000000000000476
60,3.4592,3.454,0.005199999999999871
61,3.5953,3.5918,0.0034999999999998366
62,3.6795,3.6737,0.005799999999999805
63,3.9261,3.9247,0.0013999999999998458
64,3.1459,3.1404,0.00550000000000006
65,3.447,3.4446,0.0024000000000001798
66,3.5939,3.5903,0.0036000000000000476
67,3.5386,3.5355,0.0031000000000003247
68,3.3888,3.3859,0.0028999999999999027
69,3.0995,3.0979,0.0015999999999998238
70,3.6113,3.6099,0.0013999999999998458
71,3.0005,2.997,0.0035000000000002807
72,3.4656,3.4613,0.0042999999999997485
73,3.5958,3.5948,0.0009999999999998899
74,2.6488,2.6443,0.0045000000000001705
75,3.1879,3.1859,0.0019999999999997797
76,3.2113,3.2081,0.0032000000000000917
77,3.0692,3.0671,0.0020999999999999908
78,3.1643,3.162,0.0022999999999999687
79,2.8133,2.8114,0.0019000000000000128
80,3.3334,3.3315,0.0019000000000000128
81,2.7783,2.7748,0.0035000000000002807
82,2.9816,2.9792,0.0023999999999997357
83,3.3554,3.3532,0.0021999999999997577
84,2.4158,2.4144,0.0013999999999998458
85,2.901,2.9,0.0009999999999998899
86,3.0156,3.0115,0.004100000000000215
87,2.7499,2.7481,0.0017999999999998018
88,2.7328,2.7302,0.0026000000000001577
89,2.8343,2.8325,0.0017999999999998018
90,3.2175,3.2167,0.0007999999999999119
91,2.3031,2.3021,0.001000000000000334
92,2.8065,2.8048,0.0017000000000000348
93,2.8689,2.8676,0.0013000000000000789
94,2.7553,2.7541,0.0011999999999998678
95,2.7535,2.7505,0.0029999999999996696
96,2.4262,2.4232,0.0030000000000001137
97,2.9972,2.9961,0.0010999999999996568
98,2.3586,2.3557,0.0028999999999999027
99,2.8199,2.8177,0.002200000000000202
100,3.0217,3.0202,0.0015000000000000568
101,2.0399,2.0399,0.0
102,2.6472,2.6439,0.0033000000000003027
103,2.6498,2.647,0.0028000000000001357
104,2.5406,2.5405,9.999999999976694e-05
105,2.6165,2.6124,0.0040999999999997705
106,2.2902,2.2881,0.0020999999999999908
107,2.845,2.8441,0.0009000000000001229
108,2.2733,2.2713,0.0019999999999997797
109,2.4796,2.4777,0.0019000000000000128
110,2.8902,2.8907,-0.0004999999999997229
111,1.9323,1.9304,0.0019000000000000128
112,2.4427,2.4397,0.0029999999999996696
113,2.5611,2.5571,0.0040000000000000036
114,2.3411,2.3401,0.0009999999999998899
115,2.2854,2.2809,0.0045000000000001705
116,2.3735,2.3733,0.00019999999999997797
117,2.7949,2.7927,0.002200000000000202
118,1.8928,1.8926,0.00019999999999997797
119,2.4061,2.4022,0.0038999999999997925
120,2.468,2.4659,0.0020999999999999908
121,2.3277,2.3268,0.0009000000000001229
122,2.3621,2.359,0.0030999999999998806
123,2.0451,2.0412,0.0039000000000002366
124,2.6233,2.6207,0.0026000000000001577
125,1.9884,1.982,0.006399999999999961
126,2.4023,2.3988,0.0034999999999998366
127,2.6721,2.6692,0.0028999999999999027
128,1.6924,1.6902,0.0021999999999999797
129,2.2857,2.2825,0.0031999999999996476
130,2.3053,2.3037,0.0015999999999998238
131,2.1955,2.1947,0.0007999999999999119
132,2.267,2.262,0.004999999999999893
133,1.9506,1.9495,0.0010999999999998789
134,2.5057,2.5029,0.0028000000000001357
135,1.9499,1.9469,0.0029999999999998916
136,2.1303,2.1278,0.0024999999999999467
137,2.5608,2.5575,0.0032999999999998586
